Restaurant_Name,City,Country,Continent,Cuisine_Type,Michelin_Stars,Average_Price_USD,Chef,Established_Year,Seating_Capacity,Rating,Signature_Dish,Years_Operating,Price_Category
Osteria Francescana,Modena,Italy,Europe,Italian Contemporary,3,320,Massimo Bottura,1995,28,4.9,Five Ages Of Parmigiano,30,Luxury
Odette,Singapore,Singapore,Asia,French Contemporary,3,320,Julien Royer,2008,32,4.9,Hokkaido Sea Urchin,17,Luxury
The French Laundry,Yountville,Usa,North America,French,3,390,Thomas Keller,1994,60,4.9,Oysters And Pearls,31,Luxury
Arpège,Paris,France,Europe,French Vegetarian,3,425,Alain Passard,1986,40,4.9,Heirloom Tomatoes,39,Ultra-Luxury
Mirazur,Menton,France,Europe,Mediterranean,3,350,Mauro Colagreco,1991,36,4.8,Salt Crusted Beetroot,34,Luxury
Frantzén,Stockholm,Sweden,Europe,Nordic Contemporary,3,380,Björn Frantzén,2008,23,4.8,Reindeer Moss,17,Luxury
Le Bernardin,New York,Usa,North America,French Seafood,3,295,Eric Ripert,1972,62,4.8,Barely Cooked Salmon,53,Luxury
Piazza Duomo,Alba,Italy,Europe,Italian,3,310,Enrico Crippa,2005,35,4.8,Fassona Beef,20,Luxury
Arzak,San Sebastián,Spain,Europe,Basque,3,295,Juan Mari Arzak,1897,50,4.8,Red Mullet,128,Luxury
Atelier Crenn,San Francisco,Usa,North America,Contemporary French,3,345,Dominique Crenn,2011,50,4.8,Kir Breton Royale,14,Luxury
Benu,San Francisco,Usa,North America,Contemporary American,3,298,Corey Lee,2010,56,4.8,Thousand Year Quail Egg,15,Luxury
Alléno Paris,Paris,France,Europe,French Haute Cuisine,3,385,Yannick Alléno,2003,55,4.8,Cabbage & Caviar,22,Luxury
La Pergola,Rome,Italy,Europe,Italian Haute Cuisine,3,310,Heinz Beck,1994,50,4.8,Fagottelli,31,Luxury
Quique Dacosta,Dénia,Spain,Europe,Mediterranean,3,270,Quique Dacosta,1989,48,4.8,Rice With Seafood,36,Luxury
L'Astrance,Paris,France,Europe,French Contemporary,3,305,Pascal Barbot,2000,25,4.8,Lobster Ravioli,25,Luxury
El Celler de Can Roca,Girona,Spain,Europe,Contemporary Catalan,3,280,Joan Roca,1986,45,4.7,El Mundo,39,Luxury
Geranium,Copenhagen,Denmark,Europe,New Nordic,3,420,Rasmus Kofoed,2007,40,4.7,Radish & Roses,18,Ultra-Luxury
Eleven Madison Park,New York,Usa,North America,Contemporary American,3,365,Daniel Humm,1998,80,4.7,Lavender Honey Duck,27,Luxury
Alinea,Chicago,Usa,North America,Molecular Gastronomy,3,385,Grant Achatz,2005,64,4.7,Black Truffle Explosion,20,Luxury
